
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
5.1764700e-01 0.0000000e+00 4.3440700e+00 4.34407 i
5.2156900e-01 0.0000000e+00 4.3436300e+00 4.34363 i
5.2549000e-01 0.0000000e+00 4.2225900e+00 4.22259 i
5.2941200e-01 0.0000000e+00 4.2363300e+00 4.23633 i
5.3333300e-01 0.0000000e+00 4.2571700e+00 4.25717 i
5.3725500e-01 0.0000000e+00 4.1574100e+00 4.15741 i
5.4117600e-01 0.0000000e+00 4.1640600e+00 4.16406 i
5.4509800e-01 0.0000000e+00 4.2132800e+00 4.21328 i
5.4902000e-01 0.0000000e+00 4.1418900e+00 4.14189 i
5.5294100e-01 0.0000000e+00 4.1059800e+00 4.10598 i
5.5686300e-01 0.0000000e+00 4.0913500e+00 4.09135 i
5.6078400e-01 0.0000000e+00 4.1902200e+00 4.19022 i
5.6470600e-01 0.0000000e+00 4.3600300e+00 4.36003 i
5.6862700e-01 0.0000000e+00 4.3170200e+00 4.31702 i
5.7254900e-01 0.0000000e+00 4.4655500e+00 4.46555 i
5.7647100e-01 0.0000000e+00 4.5005700e+00 4.50057 i
5.8039200e-01 0.0000000e+00 4.3937200e+00 4.39372 i
5.8431400e-01 0.0000000e+00 4.4429400e+00 4.44294 i
5.8823500e-01 0.0000000e+00 4.3431800e+00 4.34318 i
5.9215700e-01 0.0000000e+00 4.3994800e+00 4.39948 i
5.9607800e-01 0.0000000e+00 4.3706600e+00 4.37066 i
6.0000000e-01 0.0000000e+00 4.2709100e+00 4.27091 i
6.0392200e-01 0.0000000e+00 4.4549000e+00 4.4549 i
6.0784300e-01 0.0000000e+00 4.3054900e+00 4.30549 i
6.1176500e-01 0.0000000e+00 4.2837600e+00 4.28376 i
6.1568600e-01 0.0000000e+00 4.3187900e+00 4.31879 i
6.1960800e-01 0.0000000e+00 4.1835600e+00 4.18356 i
